,traffic-nj511-minutes-i-278_from_the_nj_turnpike_to_the_west_shore_expressway
0,4.0
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,3.0
7,3.0
8,4.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,3.0
22,3.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,3.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,3.0
50,3.0
51,3.0
52,4.0
53,4.0
54,4.0
55,4.0
56,5.0
57,5.0
58,5.0
59,5.0
60,6.0
61,5.0
62,6.0
63,6.0
64,6.0
65,6.0
66,5.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.0
98,3.0
99,3.0
100,3.0
101,3.0
102,3.0
103,3.0
104,3.0
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,3.0
118,3.0
119,3.0
120,4.0
121,3.0
122,3.0
123,4.0
124,5.0
125,4.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,3.0
146,3.0
147,3.0
148,3.0
149,3.0
150,3.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
159,3.0
160,3.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.0
166,3.0
167,3.0
168,3.0
169,3.0
170,3.0
171,3.0
172,3.0
173,3.0
174,3.0
175,3.0
176,3.0
177,3.0
178,3.0
179,3.0
