,traffic-nj511-minutes-i-278_from_the_nj_turnpike_to_the_west_shore_expressway,traffic-nj511-minutes-i-278_from_the_west_shore_expressway_to_the_nj_turnpike
0,3.0,3.0
1,3.0,3.0
2,3.0,3.0
3,3.0,3.0
4,3.0,3.0
5,3.0,3.0
6,3.0,3.0
7,3.0,3.0
8,3.0,3.0
9,3.0,3.0
10,3.0,3.0
11,3.0,3.0
12,3.0,3.0
13,3.0,3.0
14,3.0,3.0
15,3.0,3.0
16,3.0,3.0
17,3.0,3.0
18,3.0,3.0
19,3.0,3.0
20,3.0,3.0
21,3.0,3.0
22,3.0,3.0
23,3.0,3.0
24,3.0,3.0
25,3.0,3.0
26,3.0,3.0
27,3.0,3.0
28,3.0,3.0
29,3.0,3.0
30,3.0,3.0
31,3.0,3.0
32,3.0,3.0
33,3.0,3.0
34,3.0,3.0
35,3.0,3.0
36,3.0,3.0
37,3.0,3.0
38,3.0,3.0
39,3.0,3.0
40,3.0,3.0
41,3.0,3.0
42,3.0,3.0
43,3.0,3.0
44,3.0,3.0
45,3.0,3.0
46,3.0,3.0
47,3.0,3.0
48,3.0,3.0
49,3.0,3.0
50,3.0,3.0
51,3.0,3.0
52,3.0,3.0
53,3.0,3.0
54,3.0,3.0
55,3.0,3.0
56,3.0,3.0
57,3.0,3.0
58,3.0,3.0
59,3.0,3.0
60,3.0,3.0
61,3.0,3.0
62,3.0,3.0
63,3.0,3.0
64,3.0,3.0
65,3.0,3.0
66,3.0,3.0
67,3.0,3.0
68,3.0,3.0
69,3.0,3.0
70,3.0,3.0
71,3.0,3.0
72,3.0,3.0
73,3.0,3.0
74,3.0,3.0
75,3.0,3.0
76,3.0,3.0
77,3.0,3.0
78,3.0,3.0
79,3.0,3.0
80,3.0,3.0
81,3.0,3.0
82,3.0,3.0
83,3.0,3.0
84,3.0,3.0
85,3.0,3.0
86,3.0,3.0
87,3.0,3.0
88,3.0,3.0
89,3.0,3.0
90,3.0,3.0
91,3.0,3.0
92,3.0,3.0
93,3.0,3.0
94,3.0,3.0
95,3.0,3.0
96,3.0,3.0
97,3.0,3.0
98,3.0,3.0
99,3.0,3.0
100,3.0,3.0
101,3.0,3.0
102,4.0,3.0
103,4.0,3.0
104,5.0,3.0
105,4.0,3.0
106,3.0,3.0
107,3.0,3.0
108,3.0,3.0
109,3.0,3.0
110,3.0,3.0
111,3.0,3.0
112,3.0,3.0
113,3.0,3.0
114,3.0,3.0
115,3.0,3.0
116,3.0,3.0
117,3.0,3.0
118,3.0,3.0
119,3.0,3.0
120,3.0,3.0
121,3.0,3.0
122,3.0,3.0
123,3.0,3.0
124,3.0,3.0
125,3.0,3.0
126,3.0,3.0
127,3.0,3.0
128,3.0,3.0
129,3.0,3.0
130,3.0,3.0
131,3.0,3.0
132,3.0,3.0
133,3.0,3.0
134,3.0,3.0
135,3.0,3.0
136,3.0,3.0
137,3.0,3.0
138,3.0,3.0
139,3.0,3.0
140,3.0,3.0
141,3.0,3.0
142,3.0,3.0
143,3.0,3.0
144,3.0,3.0
145,3.0,3.0
146,3.0,3.0
147,3.0,3.0
148,3.0,3.0
149,3.0,3.0
150,3.0,3.0
151,3.0,3.0
152,3.0,3.0
153,3.0,3.0
154,3.0,3.0
155,3.0,3.0
156,3.0,3.0
157,3.0,3.0
158,3.0,3.0
159,3.0,3.0
160,3.0,3.0
161,3.0,3.0
162,3.0,3.0
163,3.0,3.0
164,3.0,3.0
165,3.0,3.0
166,3.0,3.0
167,3.0,3.0
168,3.0,3.0
169,3.0,3.0
170,3.0,3.0
171,3.0,3.0
172,3.0,3.0
173,4.0,3.0
174,3.0,3.0
175,4.0,3.0
176,3.0,3.0
177,3.0,3.0
178,3.0,3.0
179,3.0,3.0
180,3.0,3.0
181,3.0,3.0
182,3.0,3.0
183,3.0,3.0
184,3.0,3.0
185,3.0,3.0
186,3.0,3.0
187,3.0,3.0
188,3.0,3.0
189,3.0,3.0
190,3.0,3.0
191,3.0,3.0
192,3.0,3.0
193,3.0,3.0
194,3.0,3.0
195,3.0,3.0
196,3.0,3.0
197,3.0,3.0
198,3.0,3.0
199,3.0,3.0
200,3.0,3.0
201,3.0,3.0
202,3.0,3.0
203,3.0,3.0
204,3.0,3.0
205,3.0,3.0
206,3.0,3.0
207,3.0,3.0
208,3.0,3.0
209,3.0,3.0
210,3.0,3.0
211,3.0,3.0
212,3.0,3.0
213,3.0,3.0
214,3.0,3.0
215,3.0,3.0
216,3.0,3.0
217,3.0,3.0
218,3.0,3.0
219,3.0,3.0
220,3.0,3.0
221,3.0,3.0
222,3.0,3.0
223,3.0,3.0
224,3.0,3.0
225,3.0,3.0
226,3.0,3.0
227,3.0,3.0
228,3.0,3.0
229,3.0,3.0
230,3.0,3.0
231,3.0,3.0
232,3.0,3.0
233,3.0,3.0
234,3.0,3.0
235,3.0,3.0
236,3.0,3.0
237,3.0,3.0
238,3.0,3.0
239,3.0,3.0
240,3.0,3.0
241,3.0,3.0
242,3.0,3.0
243,3.0,3.0
244,3.0,3.0
245,3.0,3.0
246,3.0,3.0
247,3.0,3.0
248,3.0,3.0
249,3.0,3.0
250,3.0,3.0
251,3.0,3.0
252,3.0,3.0
253,3.0,3.0
254,3.0,3.0
255,3.0,3.0
256,3.0,3.0
257,3.0,3.0
258,3.0,3.0
259,3.0,3.0
260,3.0,3.0
261,3.0,3.0
262,3.0,3.0
263,3.0,3.0
264,3.0,3.0
265,3.0,3.0
266,3.0,3.0
267,3.0,3.0
268,3.0,3.0
269,3.0,3.0
270,3.0,3.0
271,3.0,3.0
272,3.0,3.0
273,3.0,3.0
274,3.0,3.0
275,3.0,3.0
276,3.0,3.0
277,3.0,3.0
278,3.0,3.0
279,3.0,3.0
280,3.0,3.0
281,3.0,3.0
282,3.0,3.0
283,3.0,3.0
284,3.0,3.0
285,3.0,3.0
286,3.0,3.0
287,3.0,3.0
288,3.0,3.0
289,3.0,3.0
290,3.0,3.0
291,3.0,3.0
292,3.0,3.0
293,3.0,3.0
294,3.0,3.0
295,3.0,3.0
296,3.0,3.0
297,3.0,3.0
298,3.0,3.0
299,3.0,3.0
300,3.0,3.0
301,3.0,3.0
302,3.0,3.0
303,3.0,3.0
304,3.0,3.0
305,3.0,3.0
306,3.0,3.0
307,3.0,3.0
308,3.0,3.0
309,3.0,3.0
310,3.0,3.0
311,3.0,3.0
312,3.0,3.0
313,3.0,3.0
314,3.0,3.0
315,3.0,3.0
316,3.0,3.0
317,3.0,3.0
318,3.0,3.0
319,3.0,3.0
320,3.0,3.0
321,3.0,3.0
322,3.0,3.0
323,3.0,3.0
324,3.0,3.0
325,3.0,3.0
326,3.0,3.0
327,3.0,3.0
328,3.0,3.0
329,3.0,3.0
330,3.0,3.0
331,3.0,3.0
332,3.0,3.0
333,3.0,3.0
334,3.0,3.0
335,3.0,3.0
336,3.0,3.0
337,3.0,3.0
338,3.0,3.0
339,3.0,3.0
340,3.0,3.0
341,3.0,3.0
342,3.0,3.0
343,3.0,3.0
344,3.0,3.0
345,3.0,3.0
346,3.0,3.0
347,3.0,3.0
348,3.0,3.0
349,3.0,3.0
350,3.0,3.0
351,3.0,3.0
352,3.0,3.0
353,3.0,3.0
354,3.0,3.0
355,3.0,3.0
356,3.0,3.0
357,3.0,3.0
358,3.0,3.0
359,3.0,3.0
360,3.0,3.0
361,3.0,3.0
362,3.0,3.0
363,3.0,3.0
364,3.0,3.0
365,3.0,3.0
366,3.0,3.0
367,3.0,3.0
368,3.0,3.0
369,3.0,3.0
370,3.0,3.0
371,3.0,3.0
372,3.0,3.0
373,3.0,3.0
374,3.0,3.0
375,3.0,3.0
376,3.0,3.0
377,3.0,3.0
378,3.0,3.0
379,3.0,3.0
380,3.0,3.0
381,3.0,3.0
382,3.0,3.0
383,3.0,3.0
384,3.0,3.0
385,3.0,3.0
386,3.0,3.0
387,3.0,3.0
388,3.0,3.0
389,3.0,3.0
390,3.0,3.0
391,3.0,3.0
392,3.0,3.0
393,3.0,3.0
394,3.0,3.0
395,3.0,3.0
396,3.0,3.0
397,3.0,3.0
398,3.0,3.0
399,3.0,3.0
400,3.0,3.0
401,3.0,3.0
402,3.0,3.0
403,3.0,3.0
404,3.0,3.0
405,3.0,3.0
406,3.0,3.0
407,3.0,3.0
408,3.0,3.0
409,3.0,3.0
410,3.0,3.0
411,3.0,3.0
412,3.0,3.0
413,3.0,3.0
414,3.0,3.0
415,3.0,3.0
416,3.0,3.0
417,3.0,3.0
418,3.0,3.0
419,3.0,3.0
420,3.0,3.0
421,3.0,3.0
422,3.0,3.0
423,3.0,3.0
424,3.0,3.0
425,3.0,3.0
426,3.0,3.0
427,3.0,3.0
428,3.0,3.0
429,3.0,3.0
430,3.0,3.0
431,3.0,3.0
432,3.0,3.0
433,3.0,3.0
434,3.0,3.0
435,3.0,3.0
436,3.0,3.0
437,3.0,3.0
438,3.0,3.0
439,3.0,3.0
440,3.0,3.0
441,3.0,3.0
442,3.0,3.0
443,3.0,3.0
444,3.0,3.0
445,3.0,3.0
446,3.0,3.0
447,3.0,3.0
448,3.0,3.0
449,3.0,3.0
450,3.0,3.0
451,3.0,3.0
452,3.0,3.0
453,3.0,3.0
454,3.0,3.0
455,3.0,3.0
456,3.0,3.0
457,3.0,3.0
458,3.0,3.0
459,3.0,3.0
460,3.0,3.0
461,3.0,3.0
462,3.0,3.0
463,3.0,3.0
464,3.0,3.0
465,3.0,3.0
466,3.0,3.0
467,3.0,3.0
468,3.0,3.0
469,3.0,3.0
470,3.0,3.0
471,3.0,3.0
472,3.0,3.0
473,3.0,3.0
474,3.0,3.0
475,3.0,3.0
476,3.0,3.0
477,3.0,3.0
478,3.0,3.0
479,3.0,3.0
480,3.0,3.0
481,3.0,3.0
482,3.0,3.0
483,3.0,3.0
484,3.0,3.0
485,3.0,3.0
486,3.0,3.0
487,3.0,3.0
488,3.0,3.0
489,3.0,3.0
490,3.0,3.0
491,3.0,3.0
492,3.0,3.0
493,3.0,3.0
494,3.0,3.0
495,3.0,3.0
496,3.0,3.0
497,3.0,3.0
498,3.0,3.0
499,3.0,3.0
500,3.0,3.0
501,3.0,3.0
502,3.0,3.0
503,3.0,3.0
504,3.0,3.0
505,3.0,3.0
506,3.0,3.0
507,3.0,3.0
508,3.0,3.0
509,3.0,3.0
510,3.0,3.0
511,3.0,3.0
512,3.0,3.0
513,3.0,3.0
514,3.0,3.0
515,3.0,3.0
516,3.0,3.0
517,3.0,3.0
518,3.0,3.0
519,3.0,3.0
520,3.0,3.0
521,4.0,3.0
522,3.0,4.0
523,3.0,3.0
524,3.0,3.0
525,3.0,3.0
526,3.0,3.0
527,3.0,3.0
528,3.0,3.0
529,3.0,3.0
530,3.0,3.0
531,3.0,3.0
532,3.0,3.0
533,3.0,3.0
534,3.0,3.0
535,3.0,3.0
536,3.0,3.0
537,3.0,3.0
538,3.0,3.0
539,3.0,3.0
540,3.0,3.0
541,3.0,3.0
542,3.0,3.0
543,3.0,3.0
544,3.0,3.0
545,3.0,3.0
546,3.0,3.0
547,3.0,3.0
548,3.0,3.0
549,3.0,3.0
550,3.0,3.0
551,3.0,3.0
552,3.0,3.0
553,3.0,3.0
554,3.0,3.0
555,3.0,3.0
556,3.0,3.0
557,3.0,3.0
558,3.0,3.0
559,3.0,3.0
560,3.0,3.0
561,3.0,3.0
562,3.0,3.0
563,3.0,3.0
564,3.0,3.0
565,3.0,3.0
566,3.0,3.0
567,3.0,3.0
568,5.0,3.0
569,5.0,3.0
570,4.0,4.0
571,3.0,4.0
572,3.0,3.0
573,3.0,3.0
574,3.0,3.0
575,3.0,3.0
576,3.0,3.0
577,3.0,3.0
578,3.0,3.0
579,3.0,3.0
580,3.0,3.0
581,3.0,3.0
582,4.0,4.0
583,4.0,4.0
584,4.0,3.0
585,4.0,3.0
586,4.0,3.0
587,4.0,3.0
588,4.0,3.0
589,3.0,3.0
590,4.0,3.0
591,3.0,3.0
592,3.0,3.0
593,3.0,3.0
594,3.0,3.0
595,3.0,3.0
596,3.0,3.0
597,3.0,3.0
598,3.0,3.0
599,4.0,3.0
600,4.0,3.0
601,4.0,3.0
602,4.0,3.0
603,4.0,3.0
604,4.0,3.0
605,4.0,3.0
606,4.0,3.0
607,4.0,3.0
608,4.0,3.0
609,4.0,4.0
610,4.0,4.0
611,4.0,4.0
612,4.0,4.0
613,4.0,5.0
614,4.0,5.0
615,4.0,5.0
616,4.0,5.0
617,4.0,4.0
618,4.0,4.0
619,4.0,4.0
620,4.0,4.0
621,5.0,4.0
622,5.0,4.0
623,6.0,4.0
624,5.0,4.0
625,5.0,5.0
626,4.0,5.0
627,4.0,5.0
628,4.0,5.0
629,4.0,4.0
630,4.0,4.0
631,4.0,4.0
632,4.0,4.0
633,4.0,4.0
634,5.0,4.0
635,5.0,5.0
636,5.0,5.0
637,5.0,5.0
638,4.0,4.0
639,4.0,4.0
640,5.0,4.0
641,5.0,4.0
642,6.0,4.0
643,6.0,4.0
644,6.0,4.0
645,6.0,4.0
646,6.0,4.0
647,6.0,4.0
648,7.0,4.0
649,5.0,4.0
650,5.0,5.0
651,4.0,6.0
652,4.0,6.0
653,4.0,6.0
654,4.0,6.0
655,4.0,6.0
656,4.0,4.0
657,4.0,4.0
658,5.0,4.0
659,5.0,4.0
660,7.0,4.0
661,8.0,4.0
662,8.0,4.0
663,5.0,4.0
664,4.0,4.0
665,5.0,4.0
666,5.0,4.0
667,5.0,4.0
668,4.0,4.0
669,4.0,4.0
670,4.0,4.0
671,5.0,4.0
672,5.0,4.0
673,6.0,4.0
674,6.0,4.0
675,5.0,5.0
676,5.0,5.0
677,5.0,5.0
678,4.0,5.0
679,4.0,5.0
680,4.0,5.0
681,5.0,5.0
682,5.0,5.0
683,8.0,4.0
684,8.0,4.0
685,7.0,4.0
686,7.0,4.0
687,5.0,4.0
688,4.0,4.0
689,4.0,3.0
690,4.0,3.0
691,4.0,4.0
692,4.0,4.0
693,4.0,4.0
694,4.0,4.0
695,5.0,4.0
696,5.0,4.0
697,4.0,4.0
698,4.0,4.0
699,4.0,4.0
700,4.0,4.0
701,4.0,4.0
702,4.0,4.0
703,4.0,4.0
704,4.0,4.0
705,4.0,4.0
706,4.0,4.0
707,4.0,4.0
708,4.0,5.0
709,4.0,4.0
710,4.0,4.0
711,4.0,3.0
712,4.0,3.0
713,5.0,3.0
714,5.0,3.0
715,4.0,3.0
716,4.0,3.0
717,4.0,6.0
718,4.0,6.0
719,4.0,6.0
720,4.0,5.0
721,5.0,5.0
722,5.0,5.0
723,5.0,5.0
724,5.0,5.0
725,5.0,4.0
726,6.0,4.0
727,5.0,4.0
728,5.0,4.0
729,5.0,5.0
730,5.0,5.0
731,4.0,4.0
732,5.0,4.0
733,4.0,4.0
734,4.0,4.0
735,4.0,4.0
736,4.0,4.0
737,4.0,4.0
738,4.0,4.0
739,4.0,4.0
740,4.0,4.0
741,4.0,4.0
742,4.0,4.0
743,4.0,4.0
744,4.0,4.0
745,4.0,4.0
746,4.0,4.0
747,4.0,4.0
748,4.0,4.0
749,4.0,4.0
750,4.0,4.0
751,5.0,4.0
752,6.0,4.0
753,8.0,4.0
754,7.0,4.0
755,4.0,6.0
756,4.0,6.0
757,4.0,4.0
758,4.0,4.0
759,4.0,4.0
760,4.0,4.0
761,4.0,5.0
762,4.0,5.0
763,4.0,4.0
764,4.0,3.0
765,4.0,4.0
766,4.0,4.0
767,4.0,4.0
768,4.0,4.0
769,4.0,4.0
770,4.0,4.0
771,4.0,4.0
772,4.0,3.0
773,5.0,3.0
774,6.0,3.0
775,5.0,4.0
776,5.0,4.0
777,4.0,3.0
778,4.0,3.0
779,4.0,3.0
780,4.0,3.0
781,4.0,4.0
782,4.0,3.0
783,4.0,3.0
784,4.0,3.0
785,4.0,4.0
786,5.0,4.0
787,5.0,4.0
788,5.0,4.0
789,4.0,4.0
790,4.0,4.0
791,4.0,4.0
792,4.0,4.0
793,4.0,4.0
794,4.0,4.0
795,6.0,4.0
796,8.0,4.0
797,5.0,4.0
798,5.0,5.0
799,5.0,4.0
800,5.0,4.0
801,5.0,4.0
802,4.0,4.0
803,5.0,4.0
804,3.0,4.0
805,4.0,6.0
806,4.0,6.0
807,4.0,6.0
808,4.0,4.0
809,5.0,4.0
810,5.0,4.0
811,4.0,5.0
812,4.0,5.0
813,4.0,5.0
814,4.0,4.0
815,4.0,4.0
816,4.0,4.0
817,6.0,3.0
818,6.0,3.0
819,6.0,4.0
820,5.0,4.0
821,4.0,4.0
822,4.0,4.0
823,4.0,4.0
824,4.0,5.0
825,4.0,4.0
826,4.0,4.0
827,4.0,4.0
828,4.0,4.0
829,4.0,4.0
830,4.0,4.0
831,4.0,3.0
832,4.0,3.0
833,4.0,3.0
834,4.0,4.0
835,4.0,5.0
836,4.0,5.0
837,4.0,4.0
838,4.0,4.0
839,4.0,3.0
840,4.0,4.0
841,4.0,4.0
842,5.0,4.0
843,4.0,4.0
844,4.0,4.0
845,4.0,4.0
846,4.0,3.0
847,4.0,3.0
848,4.0,3.0
849,4.0,4.0
850,4.0,3.0
851,4.0,3.0
852,4.0,3.0
853,4.0,3.0
854,4.0,3.0
855,4.0,3.0
856,4.0,3.0
857,3.0,3.0
858,4.0,3.0
859,4.0,3.0
860,4.0,3.0
861,4.0,3.0
862,4.0,3.0
863,4.0,3.0
864,3.0,3.0
865,4.0,3.0
866,4.0,3.0
867,4.0,3.0
868,3.0,3.0
869,4.0,3.0
870,4.0,3.0
871,4.0,3.0
872,4.0,3.0
873,3.0,3.0
874,4.0,3.0
875,4.0,3.0
876,4.0,3.0
877,4.0,3.0
878,4.0,3.0
879,3.0,3.0
880,3.0,3.0
881,3.0,3.0
882,3.0,3.0
883,3.0,3.0
884,3.0,3.0
885,3.0,3.0
886,3.0,3.0
887,3.0,3.0
888,3.0,3.0
889,3.0,3.0
890,3.0,3.0
891,3.0,3.0
892,3.0,3.0
893,3.0,3.0
894,3.0,3.0
895,3.0,3.0
896,3.0,3.0
897,3.0,3.0
898,3.0,3.0
899,3.0,3.0
900,3.0,3.0
901,3.0,3.0
902,3.0,3.0
903,3.0,3.0
904,3.0,3.0
905,3.0,3.0
906,3.0,3.0
907,3.0,3.0
908,3.0,3.0
909,3.0,3.0
910,3.0,3.0
911,3.0,3.0
912,3.0,3.0
913,3.0,3.0
914,3.0,3.0
915,3.0,3.0
916,3.0,3.0
917,3.0,3.0
918,3.0,3.0
919,3.0,3.0
920,3.0,3.0
921,3.0,3.0
922,3.0,3.0
923,3.0,3.0
924,3.0,3.0
925,3.0,3.0
926,3.0,3.0
927,3.0,3.0
928,3.0,3.0
929,3.0,3.0
