,noaa_wind_direction_46061,noaa_wind_speed_44005,noaa_wind_direction_41008,noaa_wind_speed_41008,noaa_wind_speed_46061,noaa_wind_direction_44005
0,0.08888888888888889,0.7,0.625,0.32999999999999996,0.13999999999999999,0.5833333333333334
1,0.3972222222222222,0.7,0.5166666666666667,0.27,0.16999999999999998,0.5944444444444444
2,0.36944444444444446,0.6599999999999999,0.5222222222222223,0.22000000000000003,0.29,0.5916666666666667
3,0.3638888888888889,0.6799999999999999,0.5722222222222222,0.27999999999999997,0.22999999999999998,0.5583333333333333
4,0.45,0.73,0.5166666666666667,0.27999999999999997,0.16,0.5555555555555556
5,0.44722222222222224,0.73,0.49166666666666664,0.31,0.1,0.5666666666666667
6,0.5444444444444444,0.6799999999999999,0.5111111111111111,0.33999999999999997,0.16,0.5722222222222222
7,0.5972222222222222,0.62,0.5027777777777778,0.45,0.29,0.5805555555555556
8,0.5972222222222222,0.62,0.5027777777777778,0.45,0.29,0.5805555555555556
9,0.575,0.6,0.48333333333333334,0.5,0.27999999999999997,0.5805555555555556
10,0.5972222222222222,0.62,0.5027777777777778,0.54,0.16,0.5944444444444444
11,0.5972222222222222,0.44000000000000006,0.4722222222222222,0.61,0.27999999999999997,0.7388888888888889
12,0.6277777777777778,0.36,0.48333333333333334,0.6,0.33999999999999997,0.6916666666666667
13,0.6138888888888889,0.38,0.5083333333333333,0.63,0.27,0.6638888888888889
14,0.5638888888888889,0.51,0.5444444444444444,0.73,0.08,0.6916666666666667
15,0.35833333333333334,0.45999999999999996,0.5694444444444444,0.77,0.06999999999999999,0.6555555555555556
16,0.3388888888888889,0.36,0.5805555555555556,0.76,0.11000000000000001,0.7361111111111112
17,0.20277777777777778,0.22999999999999998,0.5638888888888889,0.61,0.15,0.7305555555555555
18,0.2361111111111111,0.2,0.5777777777777777,0.5700000000000001,0.21000000000000002,0.6611111111111111
19,0.2777777777777778,0.24,0.6,0.7,0.3,0.7027777777777777
20,0.3472222222222222,0.21000000000000002,0.5777777777777777,0.6599999999999999,0.31,0.675
21,0.35,0.22999999999999998,0.5805555555555556,0.7,0.6599999999999999,0.7611111111111111
22,0.3194444444444444,0.16999999999999998,0.5444444444444444,0.7,0.5,0.7388888888888889
23,0.3638888888888889,0.27999999999999997,0.525,0.8,0.58,0.6777777777777778
24,0.37222222222222223,0.32,0.5555555555555556,0.86,0.58,0.6972222222222222
25,0.4166666666666667,0.3,0.5527777777777778,0.89,0.42000000000000004,0.6472222222222223
26,0.44166666666666665,0.32,0.525,0.86,0.5,0.625
27,0.4388888888888889,0.32999999999999996,0.5388888888888889,0.79,0.41,0.6833333333333333
28,0.4638888888888889,0.38,0.5333333333333333,0.71,0.35,0.6277777777777778
29,0.4444444444444444,0.45999999999999996,0.5166666666666667,0.67,0.24,0.625
30,0.4222222222222222,0.45999999999999996,0.5111111111111111,0.71,0.27999999999999997,0.6083333333333333
31,0.425,0.5,0.5083333333333333,0.6799999999999999,0.32,0.6305555555555555
32,0.3972222222222222,0.5,0.5444444444444444,0.79,0.47000000000000003,0.6305555555555555
33,0.375,0.49000000000000005,0.6555555555555556,0.86,0.43,0.6583333333333333
34,0.39166666666666666,0.49000000000000005,0.6527777777777778,0.79,0.41,0.6972222222222222
35,0.37777777777777777,0.45999999999999996,0.5916666666666667,0.71,0.41,0.725
36,0.4388888888888889,0.29,0.575,0.79,0.32,0.7638888888888888
37,0.35,0.27999999999999997,0.5833333333333334,0.85,0.39,0.775
38,0.34444444444444444,0.2,0.5972222222222222,0.8699999999999999,0.42000000000000004,0.7305555555555555
39,0.34444444444444444,0.36,0.6527777777777778,1.0699999999999998,0.49000000000000005,0.7722222222222223
40,0.31666666666666665,0.24,0.6388888888888888,0.97,0.49000000000000005,0.775
41,0.2861111111111111,0.31,0.6444444444444445,0.99,0.58,0.8138888888888889
42,0.37222222222222223,0.29,0.65,1.04,0.65,0.7861111111111111
43,0.36666666666666664,0.32999999999999996,0.6444444444444445,1.04,0.51,0.8583333333333333
44,0.325,0.22000000000000003,0.6777777777777778,1.0,0.67,0.8611111111111112
45,0.3611111111111111,0.15,0.6916666666666667,0.99,0.74,0.7583333333333333
46,0.28055555555555556,0.27999999999999997,0.6861111111111111,0.8699999999999999,0.6900000000000001,0.725
47,0.2611111111111111,0.21000000000000002,0.6583333333333333,0.82,0.79,0.7722222222222223
48,0.2722222222222222,0.16,0.6583333333333333,0.9,0.8400000000000001,0.7472222222222222
49,0.26666666666666666,0.27,0.6361111111111111,0.9400000000000001,1.03,0.6444444444444445
50,0.2638888888888889,0.21000000000000002,0.6055555555555555,0.99,1.03,0.7305555555555555
51,0.25833333333333336,0.19,0.5833333333333334,1.01,1.01,0.6694444444444444
52,0.2611111111111111,0.4,0.5833333333333334,1.04,1.02,0.6277777777777778
53,0.26666666666666666,0.19,0.6194444444444445,1.09,1.08,0.7111111111111111
54,0.26944444444444443,0.16999999999999998,0.625,1.05,1.01,0.6527777777777778
55,0.26666666666666666,0.32,0.6444444444444445,0.97,1.1,0.6138888888888889
56,0.26666666666666666,0.26,0.6583333333333333,0.96,1.1,0.8083333333333333
57,0.25277777777777777,0.16999999999999998,0.6722222222222223,0.97,1.16,0.8611111111111112
58,0.25555555555555554,0.55,0.6833333333333333,1.09,1.23,0.9722222222222222
