,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
0,12.0,12.0,11.0,12.0
1,13.0,12.0,11.0,12.0
2,12.0,13.0,11.0,12.0
3,12.0,13.0,11.0,12.0
4,13.0,12.0,11.0,12.0
5,13.0,12.0,12.0,12.0
6,12.0,12.0,11.0,12.0
7,12.0,12.0,11.0,12.0
8,12.0,12.0,11.0,12.0
9,13.0,12.0,11.0,12.0
10,12.0,12.0,11.0,12.0
11,12.0,12.0,11.0,12.0
12,13.0,12.0,11.0,12.0
13,13.0,12.0,11.0,12.0
14,13.0,12.0,11.0,12.0
15,13.0,12.0,11.0,12.0
16,13.0,12.0,11.0,12.0
17,13.0,12.0,11.0,12.0
18,13.0,12.0,11.0,12.0
19,12.0,13.0,11.0,12.0
20,12.0,13.0,11.0,12.0
21,13.0,13.0,11.0,12.0
22,13.0,12.0,11.0,12.0
23,13.0,12.0,11.0,12.0
24,13.0,12.0,11.0,12.0
25,13.0,12.0,11.0,12.0
26,13.0,12.0,11.0,12.0
27,13.0,12.0,11.0,12.0
28,13.0,12.0,11.0,12.0
29,12.0,12.0,11.0,12.0
30,13.0,12.0,11.0,12.0
31,13.0,12.0,11.0,12.0
32,12.0,12.0,11.0,12.0
33,12.0,12.0,11.0,12.0
34,13.0,12.0,11.0,12.0
35,13.0,12.0,11.0,12.0
36,12.0,12.0,12.0,12.0
37,12.0,12.0,11.0,12.0
38,12.0,12.0,13.0,12.0
39,12.0,12.0,12.0,12.0
40,12.0,12.0,12.0,12.0
41,12.0,12.0,11.0,12.0
42,12.0,12.0,11.0,12.0
43,12.0,12.0,11.0,12.0
44,12.0,12.0,11.0,12.0
45,12.0,12.0,11.0,12.0
46,12.0,12.0,11.0,12.0
47,12.0,12.0,11.0,12.0
48,12.0,11.0,11.0,12.0
49,12.0,11.0,11.0,12.0
50,12.0,11.0,11.0,12.0
51,12.0,12.0,11.0,12.0
52,12.0,12.0,11.0,12.0
53,12.0,11.0,11.0,12.0
54,12.0,11.0,11.0,12.0
55,12.0,12.0,11.0,12.0
56,12.0,11.0,11.0,12.0
57,12.0,11.0,11.0,12.0
58,12.0,11.0,11.0,12.0
59,12.0,11.0,11.0,12.0
60,12.0,11.0,11.0,12.0
61,12.0,11.0,11.0,12.0
62,12.0,12.0,11.0,12.0
63,12.0,11.0,11.0,12.0
64,12.0,12.0,11.0,12.0
65,12.0,11.0,11.0,12.0
66,12.0,11.0,11.0,12.0
67,12.0,11.0,11.0,12.0
68,12.0,11.0,11.0,12.0
69,12.0,11.0,11.0,12.0
70,12.0,12.0,11.0,12.0
71,12.0,12.0,11.0,12.0
72,12.0,11.0,11.0,12.0
73,12.0,11.0,11.0,12.0
74,12.0,11.0,11.0,12.0
75,12.0,11.0,11.0,12.0
76,12.0,11.0,11.0,12.0
77,11.0,11.0,11.0,12.0
78,11.0,11.0,11.0,12.0
79,12.0,11.0,11.0,12.0
80,12.0,11.0,11.0,12.0
81,12.0,11.0,11.0,12.0
82,12.0,11.0,11.0,12.0
83,12.0,13.0,11.0,12.0
84,12.0,13.0,11.0,12.0
85,11.0,12.0,11.0,12.0
86,12.0,11.0,11.0,12.0
87,11.0,11.0,11.0,12.0
88,11.0,12.0,11.0,12.0
89,11.0,12.0,11.0,12.0
90,12.0,12.0,12.0,12.0
91,12.0,11.0,12.0,12.0
92,12.0,11.0,13.0,12.0
93,12.0,11.0,12.0,12.0
94,12.0,11.0,11.0,12.0
95,12.0,11.0,11.0,12.0
96,11.0,11.0,11.0,12.0
97,12.0,12.0,11.0,12.0
98,11.0,12.0,11.0,12.0
99,12.0,11.0,11.0,12.0
100,12.0,11.0,11.0,12.0
101,12.0,11.0,11.0,12.0
102,12.0,12.0,11.0,12.0
103,12.0,11.0,11.0,12.0
104,12.0,11.0,11.0,12.0
105,12.0,11.0,13.0,12.0
106,12.0,11.0,12.0,12.0
107,12.0,11.0,12.0,12.0
108,12.0,11.0,12.0,12.0
109,12.0,11.0,12.0,12.0
110,12.0,12.0,12.0,12.0
111,12.0,13.0,11.0,12.0
112,11.0,11.0,11.0,12.0
113,11.0,11.0,11.0,12.0
114,11.0,11.0,11.0,12.0
115,11.0,11.0,11.0,12.0
116,11.0,11.0,11.0,12.0
117,12.0,11.0,11.0,12.0
118,12.0,11.0,11.0,12.0
119,12.0,11.0,11.0,12.0
120,12.0,11.0,11.0,12.0
121,12.0,11.0,11.0,12.0
122,12.0,11.0,11.0,12.0
123,12.0,11.0,11.0,12.0
124,12.0,11.0,13.0,13.0
125,12.0,11.0,12.0,13.0
126,12.0,11.0,14.0,12.0
127,11.0,11.0,15.0,12.0
128,11.0,11.0,17.0,12.0
129,11.0,11.0,11.0,12.0
130,11.0,11.0,11.0,12.0
131,11.0,11.0,11.0,12.0
132,12.0,11.0,11.0,12.0
133,11.0,11.0,11.0,12.0
134,11.0,11.0,11.0,12.0
135,11.0,11.0,11.0,12.0
136,11.0,11.0,11.0,12.0
137,11.0,11.0,11.0,12.0
138,12.0,11.0,11.0,12.0
139,12.0,11.0,11.0,12.0
140,12.0,11.0,13.0,12.0
141,12.0,11.0,13.0,12.0
142,12.0,13.0,11.0,12.0
143,12.0,12.0,11.0,12.0
144,12.0,13.0,11.0,12.0
