,sox_unlimited_gram_salad,sox_unlimited_vegetable_salad,sox_unlimited_cilantro_salad
0,14.3,45.67,15.105
1,14.15,45.565,15.425
2,14.17,45.555,15.495
3,14.455,45.2,15.334999999999999
4,14.3,45.21,15.56
5,14.63,44.59,14.649999999999999
6,14.795000000000002,44.425,14.719999999999999
7,14.515,44.25,14.510000000000002
8,14.685,44.375,14.48
9,14.25,44.435,14.54
10,14.375,44.265,14.49
11,14.43,44.045,13.825
12,14.25,43.78,13.855
13,14.29,44.345,12.41
14,14.309999999999999,44.215,12.41
15,14.465,44.165000000000006,12.445
16,14.34,44.415,12.635000000000002
17,14.219999999999999,44.265,12.489999999999998
18,14.195,44.375,12.535
19,14.475000000000001,44.275000000000006,12.6
20,14.059999999999999,44.185,12.565
21,13.85,44.245000000000005,12.559999999999999
22,13.879999999999999,44.515,12.555
23,13.865,44.370000000000005,12.600000000000001
24,13.57,44.195,12.105
25,13.594999999999999,44.305,12.260000000000002
26,14.375,44.325,12.055
27,14.28,44.235,12.055
28,13.825,44.165,12.17
29,13.879999999999999,44.325,12.030000000000001
30,13.754999999999999,44.08,11.96
31,13.885,44.07,12.11
32,13.795,44.175,12.030000000000001
33,13.84,44.075,11.98
34,13.815000000000001,44.015,10.13
35,13.915,44.325,10.125
36,13.585,44.165,10.885
37,13.485,44.2,10.615
38,13.355,44.165,10.84
39,13.55,44.185,10.675
40,13.665,44.39,10.8
41,13.614999999999998,44.245000000000005,11.015
42,13.594999999999999,44.09,10.934999999999999
43,14.125238999999999,47.056285,13.170235
44,14.125238999999999,47.056285,13.170235
45,14.125238999999999,47.056285,13.170235
46,14.125238999999999,47.056285,13.170235
47,14.125238999999999,47.056285,13.170235
48,14.125238999999999,47.056285,13.170235
49,14.125238999999999,47.056285,13.170235
50,14.125238999999999,47.056354999999996,13.170235
51,14.125238999999999,47.056354999999996,13.170235
52,14.125238999999999,47.056354999999996,13.170235
53,14.125238999999999,47.056354999999996,13.170235
54,14.125238999999999,47.056354999999996,13.170235
55,14.125238999999999,47.056354999999996,13.170235
56,14.125238999999999,47.056354999999996,13.170235
57,14.125238999999999,47.056354999999996,13.170235
58,14.125238999999999,47.056354999999996,13.170235
59,14.125238999999999,47.056354999999996,13.170235
60,14.125238999999999,47.056354999999996,13.170235
61,14.125238999999999,47.056354999999996,13.170235
62,14.125238999999999,47.056354999999996,13.170235
63,14.125238999999999,47.056354999999996,13.170235
64,14.125238999999999,47.056354999999996,13.170235
65,14.125238999999999,47.056354999999996,13.170235
66,14.125238999999999,47.056354999999996,13.170235
67,14.125238999999999,47.056354999999996,13.170235
68,14.125238999999999,47.056354999999996,13.170235
69,14.125238999999999,47.056354999999996,13.170235
70,14.125238999999999,47.056354999999996,13.170235
71,14.125238999999999,47.056354999999996,13.170235
72,14.125238999999999,47.056354999999996,13.170235
73,14.125238999999999,47.056354999999996,13.170235
74,14.125238999999999,47.056354999999996,13.170235
75,14.125238999999999,47.056354999999996,13.170235
76,14.125238999999999,47.056354999999996,13.170235
77,14.125238999999999,47.056354999999996,13.170235
78,14.125238999999999,47.056354999999996,13.170235
79,14.125238999999999,47.056354999999996,13.170235
80,14.125238999999999,47.056354999999996,13.170235
81,12.17,44.425,11.96
82,12.325,44.125,11.975000000000001
83,12.16,44.150000000000006,11.89
84,12.645,43.945,11.675
85,12.465,43.995000000000005,11.54
86,12.41,44.015,11.575
87,12.42,44.065,11.81
88,12.715,44.095,11.94
89,12.495000000000001,44.019999999999996,12.51
90,12.31,44.025000000000006,11.780000000000001
91,12.395,44.17,11.55
92,12.1,44.0,11.165
93,11.885000000000002,44.055,11.43
94,11.895,44.085,11.309999999999999
95,11.825,44.0,11.18
96,11.870000000000001,44.03,11.29
97,11.685,43.755,11.265
98,11.57,43.975,11.3
99,11.45,43.935,11.275
